pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
PG,30,ATL,15,181,6.5,.407,.000,.457,1.2,5.1,3.2,26.3,1.9,0.0,20.2,16.5,,-0.2,0.1,0.0,-0.012,,-4.8,-2.5,-7.3,-0.2
SF,22,CLE,80,1858,10.4,.517,.000,.315,10.3,20.5,15.3,5.0,0.8,4.6,20.5,11.9,,0.1,2.4,2.5,.064,,-3.4,3.1,-0.3,0.8
SG,23,SDC,76,1571,8.7,.484,.080,.154,1.6,4.6,3.1,9.8,1.8,0.0,12.2,17.7,,0.2,0.3,0.5,.015,,-3.1,-0.8,-3.9,-0.8
PG,30,DET,32,216,10.5,.429,.032,.206,1.9,9.2,5.4,34.1,2.8,0.3,25.9,16.5,,-0.2,0.2,0.1,.013,,-4.2,-1.3,-5.5,-0.2
SF,27,CLE,80,1799,15.9,.568,.002,.476,10.5,13.6,12.0,7.2,1.9,0.2,13.1,20.3,,3.0,1.7,4.6,.124,,0.8,-0.3,0.4,1.1
PG,26,CLE,77,2041,13.3,.527,.016,.220,1.7,3.7,2.7,29.9,0.9,0.0,15.9,18.6,,1.9,0.7,2.6,.061,,-0.8,-3.4,-4.1,-1.1
PF,27,PHI,78,1532,8.1,.520,.006,.407,6.9,15.8,11.5,8.3,1.1,2.1,24.6,13.6,,-0.6,2.1,1.4,.045,,-2.9,0.9,-2.0,0.0
C,35,DEN,76,2076,21.1,.561,.016,.371,5.5,20.8,13.0,11.6,1.3,1.1,8.3,26.6,,4.8,1.3,6.1,.141,,0.5,-0.8,-0.3,0.9
SG,24,IND,2,10,7.7,.521,.000,1.000,11.1,0.0,5.5,0.0,0.0,0.0,14.8,27.9,,0.0,0.0,0.0,.057,,-4.8,-8.5,-13.2,0.0
SG,27,SEA,25,176,6.8,.461,.020,.440,3.9,3.9,3.9,10.5,2.2,0.6,16.7,16.9,,-0.1,0.1,0.0,-0.002,,-4.5,-1.0,-5.5,-0.2
